,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
64,2021-03-02,33.0,34.6,32.9,33.29,33.29,122014990,0.0,1.0
65,2021-03-01,33.1,33.71,32.29,33.35,33.35,128083420,0.0,1.0
66,2021-02-26,32.57,34.08,31.62,33.1,33.1,252918040,0.0,1.0
67,2021-02-25,30.49,32.99,30.41,32.99,32.99,259540390,0.0,1.0
68,2021-02-24,29.92,30.58,29.5,29.99,29.99,96994810,0.0,1.0
69,2021-02-23,29.69,30.05,29.29,30.01,30.01,86137980,0.0,1.0
70,2021-02-22,29.84,30.33,29.52,29.73,29.73,85234080,0.0,1.0
71,2021-02-19,29.7,30.04,29.6,29.84,29.84,75857450,0.0,1.0
72,2021-02-18,28.95,30.13,28.95,30.01,30.01,99692210,0.0,1.0
73,2021-02-17,28.83,28.83,28.83,28.83,28.83,0,0.0,1.0
74,2021-02-16,28.83,28.83,28.83,28.83,28.83,0,0.0,1.0
75,2021-02-15,28.83,28.83,28.83,28.83,28.83,0,0.0,1.0
76,2021-02-12,28.83,28.83,28.83,28.83,28.83,0,0.0,1.0
77,2021-02-11,28.83,28.83,28.83,28.83,28.83,0,0.0,1.0
78,2021-02-10,28.61,28.98,28.35,28.83,28.83,65214900,0.0,1.0
79,2021-02-09,28.99,29.07,28.54,28.75,28.75,67356770,0.0,1.0
80,2021-02-08,29.0,29.76,28.6,29.13,29.13,83203690,0.0,1.0
81,2021-02-05,28.01,29.34,28.01,28.88,28.88,103026090,0.0,1.0
82,2021-02-04,27.89,28.35,27.43,27.89,27.89,66557430,0.0,1.0
83,2021-02-03,28.34,28.35,27.78,27.92,27.92,58961000,0.0,1.0
84,2021-02-02,28.19,28.48,27.96,28.34,28.34,71610840,0.0,1.0
85,2021-02-01,27.97,28.12,27.26,28.07,28.07,88669360,0.0,1.0
86,2021-01-29,28.55,28.65,27.57,27.79,27.79,96368540,0.0,1.0
87,2021-01-28,29.05,29.07,28.22,28.43,28.43,78604140,0.0,1.0
88,2021-01-27,29.69,29.95,29.37,29.4,29.4,72430280,0.0,1.0
89,2021-01-26,29.26,30.15,29.15,29.7,29.7,81665460,0.0,1.0
90,2021-01-25,29.26,29.6,28.56,29.36,29.36,97374970,0.0,1.0
91,2021-01-22,29.95,29.95,29.01,29.26,29.26,105809060,0.0,1.0
92,2021-01-21,30.3,30.7,30.02,30.1,30.1,87525260,0.0,1.0
93,2021-01-20,31.07,31.2,30.35,30.5,30.5,96143450,0.0,1.0
94,2021-01-19,31.19,32.35,30.72,31.28,31.28,163168840,0.0,1.0
95,2021-01-18,30.2,31.26,29.83,31.26,31.26,125828170,0.0,1.0
96,2021-01-15,30.01,30.73,29.88,29.95,29.95,112337240,0.0,1.0
97,2021-01-14,29.93,30.79,29.8,29.99,29.99,121632320,0.0,1.0
98,2021-01-13,29.9,30.22,29.6,29.9,29.9,94050420,0.0,1.0
99,2021-01-12,29.78,29.8,29.37,29.7,29.7,98065440,0.0,1.0
